Table Size x Number of Elements,10000,20000,100000,500000,1000000
1000000,0.008s,0.016s,0.074s,0.461s,0.954s
100000,0.009s,0.018s,0.114s,0.455s,1.17s
10000,0.006s,0.013s,0.097s,1.336s,4.736s
1000,0.007s,0.017s,0.305s,9.862s,37.619s
100,0.012s,0.049s,2.216s,86.986s,359.539s
