Table Size x Number of Elements,10000,20000,100000,500000,1000000
1000000,0.002s,0.004s,0.021s,0.136s,0.28s
100000,0.002s,0.003s,0.025s,0.203s,0.448s
10000,0.002s,0.004s,0.052s,0.786s,2.885s
1000,0.002s,0.007s,0.294s,8.128s,24.822s
100,0.009s,0.045s,2.624s,73.31s,210.096s
