Table Size x Number of Elements,10000,20000,100000,500000,1000000
1000000,44,187,4868,106734,367968
100000,503,1923,36944,400684,900005
10000,3660,11328,90000,490000,990000
1000,9000,19000,99000,499000,999000
100,9900,19900,99900,499900,999900
