Table Size x Number of Elements,10000,20000,100000,500000,1000000
1000000,0.011s,0.034s,1.19s,42.187s,95.0s
100000,0.01s,0.037s,0.83s,13.016s,42.619s
10000,0.01s,0.033s,0.796s,13.709s,45.016s
1000,0.01s,0.032s,0.671s,13.737s,40.993s
100,0.013s,0.051s,1.311s,22.646s,74.204s
