Table Size x Number of Elements,10000,20000,100000,500000,1000000
1000000,0.045s,0.068s,0.127s,0.465s,0.911s
100000,0.039s,0.011s,0.06s,0.451s,1.136s
10000,0.005s,0.011s,0.093s,1.411s,5.283s
1000,0.006s,0.015s,0.31s,10.609s,40.971s
100,0.011s,0.047s,2.236s,95.341s,363.076s
