Table Size x Number of Elements,10000,20000,100000,500000,1000000
1000000,57,236,5953,125030,414921
100000,496,1910,36750,400726,900006
10000,3636,11358,90000,490000,990000
1000,9000,19000,99000,499000,999000
100,9900,19900,99900,499900,999900
