Table Size x Number of Elements,10000,20000,100000,500000,1000000
1000000,0.002s,0.004s,0.011s,0.05s,0.109s
100000,0.001s,0.001s,0.011s,0.11s,0.334s
10000,0.001s,0.002s,0.034s,0.992s,2.714s
1000,0.001s,0.005s,0.269s,9.037s,27.18s
100,0.007s,0.042s,2.615s,71.634s,220.795s
